v403,v519/102
v118,v64/53
v213,v548/314
v88,v156/41
v172,v72/90
v163,v260/477
v396,v298/434
v516,v167/320
v178,v331/462
v234,v130/295
v246,v309/80
v396,v545/294
v92,v258/328
v227,v350/310
v463,v134/298
v212,v113/152
v76,v505/26
v298,v70/474
v8,v529/138
v111,v69/353
v312,v177/140
v96,v185/92
v353,v465/354
v285,v449/388
v489,v173/213
v76,v319/71
v412,v83/256
v535,v233/49
v294,v542/369
v586,v35/415
v313,v61/228
v331,v496/461
v223,v12/140
v30,v298/205
v268,v507/227
v258,v371/312
v485,v418/169
v207,v553/154
v191,v546/92
v551,v15/9
v539,v570/108
v84,v185/237
v21,v486/85
v239,v55/262
v238,v391/396
v514,v251/168
v194,v282/283
v456,v481/426
v66,v73/497
v297,v477/340
v258,v43/267
v81,v612/7
v611,v206/373
v367,v145/171
v225,v176/314
v384,v392/339
v354,v497/89
v63,v1/323
v185,v527/7
v445,v390/233
v544,v401/364
v119,v345/8
v30,v108/384
v137,v217/421
v49,v246/336
v42,v357/192
v260,v582/287
v310,v466/334
v562,v607/327
v422,v512/85
v377,v394/85
v132,v486/98
v494,v352/26
v71,v17/456
v518,v88/151
v323,v464/336
v37,v316/484
v175,v481/192
v497,v405/253
v473,v297/385
v79,v592/289
v97,v545/222
v184,v156/178
v504,v294/437
v193,v595/265
v465,v561/59
v545,v153/158
v53,v589/154
v304,v453/369
v42,v572/146
v523,v131/462
v511,v503/415
v506,v342/409
v38,v510/356
v540,v239/40
v619,v228/390
v81,v570/442
v295,v47/70
v35,v606/153
v74,v33/472
v391,v62/274
v15,v218/315
v385,v518/55
v107,v180/360
v162,v456/316
v294,v99/61
v7,v349/86
v62,v377/176
v388,v241/434
v559,v131/287
v226,v281/262
v226,v495/405
v222,v261/231
v107,v336/484
v281,v86/337
v617,v319/380
v213,v303/96
v532,v446/432
v564,v373/254
v102,v561/272
v62,v125/407
v618,v266/401
v273,v171/497
v317,v467/71
v387,v583/359
v123,v453/223
v513,v336/474
v615,v158/444
v199,v147/31
v585,v101/439
v345,v413/13
v427,v575/19
v244,v400/281
v608,v201/39
v586,v387/363
v191,v281/378
v249,v237/71
v469,v137/31
v138,v147/143
v342,v57/20
v257,v294/5
v38,v484/243
v62,v563/445
v159,v533/34
v35,v624/481
v294,v568/450
v237,v28/249
v564,v451/245
v467,v461/430
v73,v583/295
v453,v307/304
v358,v1/477
v272,v493/379
v158,v622/386
v191,v423/210
v265,v492/78
v265,v336/221
v528,v466/280
v419,v53/339
v467,v318/287
v423,v139/225
v154,v349/287
v498,v512/338
v587,v175/325
v6,v277/422
v201,v367/124
v80,v474/61
v608,v307/280
v595,v622/163
v8,v369/88
v445,v288/465
v366,v281/371
v7,v320/351
v52,v466/385
v525,v533/34
v254,v293/107
v54,v95/364
v306,v378/69
v189,v471/461
v495,v335/146
v133,v509/41
v166,v585/434
v568,v462/280
v597,v106/155
v469,v109/211
v65,v533/363
v91,v417/18
v442,v113/112
v225,v239/41
v109,v266/382
v154,v114/141
v278,v212/399
v348,v341/296
v304,v0/115
v590,v137/454
v126,v231/370
v162,v59/76
v96,v491/27
v421,v557/132
v341,v0/177
v62,v596/362
v334,v171/136
v396,v158/37
v574,v444/128
v394,v505/404
v45,v431/288
v118,v90/262
v206,v46/479
v384,v357/399
v109,v323/124
v98,v454/97
v331,v44/213
v390,v5/226
v438,v546/44
v57,v602/131
v525,v403/387
v573,v518/393
v443,v269/171
v525,v190/362
v392,v63/110
v98,v261/387
v398,v378/353
v188,v309/77
v507,v236/103
v432,v195/165
v502,v433/400
v240,v275/199
v139,v52/493
v522,v519/334
v478,v579/92
v203,v518/425
v557,v195/204
v385,v275/144
v524,v187/10
v97,v126/287
v558,v402/454
v105,v612/36
v316,v351/142
v443,v492/294
v162,v94/13
v83,v489/247
v249,v553/354
v107,v377/312
v612,v251/184
v557,v125/429
v314,v170/469
v563,v246/280
v422,v269/361
v364,v407/29
v104,v365/284
v90,v145/50
v60,v423/118
v208,v426/387
v118,v63/256
v36,v594/208
v575,v555/326
v559,v569/327
v466,v27/179
v9,v300/7
v511,v556/304
v596,v268/368
v502,v70/325
v474,v155/392
v362,v313/448
v532,v241/59
v89,v235/363
v583,v410/413
v132,v521/360
v115,v257/303
v7,v602/249
v94,v480/289
v170,v503/69
v69,v64/12
v122,v51/324
v255,v115/467
v513,v354/267
v278,v104/159
v313,v171/99
v213,v282/22
v142,v492/145
v64,v71/453
v484,v421/476
v308,v302/490
v193,v304/448
v563,v120/181
v26,v354/119
v233,v18/219
v548,v84/196
v334,v54/53
v36,v512/84
v450,v595/161
v566,v150/143
v457,v496/235
v599,v601/131
v266,v353/483
v424,v109/395
v349,v141/37
v494,v136/296
v593,v143/51
v468,v475/79
v350,v446/416
v340,v366/354
v531,v472/180
v58,v574/442
v483,v367/276
v245,v329/472
v325,v460/150
v151,v361/376
v13,v330/131
v572,v528/450
v240,v252/264
v271,v13/34
v213,v467/105
v57,v529/3
v467,v224/159
v314,v60/44
v16,v83/172
v1,v365/314
v507,v511/320
v26,v591/185
v390,v170/37
v212,v567/457
v88,v421/119
v421,v82/148
v123,v599/74
v360,v349/164
v503,v247/58
v84,v208/330
v455,v574/28
v10,v585/38
v95,v76/243
v544,v424/169
v32,v452/378
v114,v434/276
v315,v194/7
v506,v474/478
v506,v426/376
v46,v24/385
v525,v153/472
v175,v40/252
v275,v45/306
v254,v518/308
v556,v305/375
v293,v296/169
v577,v369/334
v591,v449/220
v0,v210/147
v168,v340/402
v534,v580/246
v495,v347/424
v163,v614/294
v530,v166/475
v253,v125/139
v196,v472/119
v381,v250/331
v382,v71/389
v457,v378/180
v428,v180/88
v563,v87/354
v612,v191/146
v366,v151/23
v332,v47/283
v582,v528/177
v152,v312/184
v543,v76/383
v119,v73/125
v372,v433/83
v579,v83/33
v52,v459/452
v597,v579/185
v546,v516/422
v211,v322/1
v383,v97/424
v601,v228/380
v383,v415/289
v417,v452/11
v622,v336/45
v99,v330/263
v491,v437/37
v78,v571/95
v559,v23/236
v307,v507/230
v440,v168/1
v551,v14/442
v45,v582/168
v355,v66/435
v52,v266/292
v537,v97/101
v50,v35/477
v140,v19/286
v574,v195/73
v456,v54/55
v203,v248/357
v60,v601/64
v4,v97/136
v587,v139/401
v38,v611/12
v295,v521/108
v360,v283/11
v172,v592/433
v163,v267/129
v91,v374/229
v9,v570/251
v340,v82/4
v321,v134/385
v79,v550/232
v526,v85/8
v156,v475/114
v363,v288/133
v382,v452/280
v604,v120/73
v496,v294/121
v237,v537/94
v75,v513/308
v609,v351/338
v297,v178/159
v218,v491/13
v395,v219/96
v155,v554/317
v349,v605/159
v468,v170/48
v353,v343/428
v192,v405/285
v242,v163/214
v173,v363/44
v264,v279/165
v376,v386/185
v284,v92/383
v192,v483/239
v278,v196/303
v528,v55/68
v426,v261/281
v591,v289/259
v217,v285/289
v25,v45/334
v62,v513/120
v617,v383/378
v450,v209/437
v532,v225/486
v479,v356/1
v164,v478/407
v586,v566/311
v30,v567/459
v381,v388/416
v148,v150/295
v198,v39/383
v346,v238/276
v293,v302/460
v561,v62/488
v152,v427/107
v534,v167/140
v549,v282/477
v147,v13/381
v172,v3/293
v576,v46/146
v252,v567/373
v508,v13/269
v213,v205/320
v418,v177/207
v544,v440/376
v95,v275/23
v586,v241/17
v123,v394/222
v459,v531/154
v336,v344/215
v423,v587/195
v198,v432/470
v59,v449/269
v343,v462/392
v474,v367/143
v176,v301/189
v575,v202/195
v292,v259/444
v313,v574/237
v359,v34/384
v2,v235/241
v362,v612/121
v323,v228/166
v208,v150/178
v169,v459/479
v46,v108/443
v413,v452/242
v379,v437/467
v372,v424/199
v403,v301/362
v270,v254/150
v244,v444/142
v5,v364/478
v330,v414/105
v16,v291/482
v330,v22/193
v456,v154/109
v231,v75/281
v440,v207/355
v200,v355/43
v496,v504/421
v595,v445/275
v257,v470/343
v406,v266/368
v298,v590/289
v219,v153/252
v530,v169/15
v179,v415/388
v430,v182/421
v433,v65/73
v155,v560/239
v208,v215/133
v273,v412/461
v623,v600/314
v520,v317/190
v500,v121/30
v511,v584/250
v402,v19/319
v376,v596/280
v284,v228/265
v577,v479/195
v198,v339/122
v225,v172/83
v342,v307/417
v601,v619/443
v408,v286/349
v433,v601/491
v419,v226/28
v546,v131/421
v383,v471/297
v598,v256/208
v25,v212/67
v18,v103/348
v25,v421/225
v327,v115/260
v380,v555/470
v311,v71/333
v7,v200/240
v177,v506/15
v303,v28/264
v455,v12/199
v237,v482/112
v421,v613/55
v186,v459/397
v473,v540/70
v284,v576/153
v566,v537/110
v597,v47/297
v279,v372/327
v590,v575/98
v234,v558/138
v570,v93/481
v52,v13/437
v65,v356/36
v447,v255/480
v73,v487/111
v141,v605/123
v620,v299/265
v494,v537/108
v454,v388/238
v67,v296/102
v557,v147/464
v433,v314/432
v151,v293/132
v377,v32/300
v373,v272/154
v525,v103/368
v102,v146/83
v316,v458/146
v267,v563/164
v135,v130/378
v278,v396/161
v180,v306/423
v379,v98/132
v494,v99/461
v412,v268/27
v441,v471/402
v34,v141/196
v586,v30/142
v426,v441/328
v542,v419/381
v598,v586/279
v302,v622/116
v499,v533/335
v414,v365/9
v368,v102/445
v275,v588/474
v467,v266/202
v236,v601/44
v401,v596/397
v425,v40/210
v565,v403/492
v402,v604/29
v458,v400/97
v26,v173/262
v434,v515/342
v441,v275/62
v570,v589/273
v355,v526/160
v459,v529/174
v36,v598/431
v261,v563/259
v49,v89/387
v526,v474/414
v39,v342/416
v110,v601/70
v302,v356/213
v411,v551/177
v380,v154/160
v541,v611/411
v46,v79/396
v143,v106/395
v67,v120/226
v520,v298/313
v487,v357/163
v31,v554/494
v528,v121/249
v463,v582/325
v66,v211/120
v461,v542/195
v244,v507/453
v587,v484/5
v100,v247/289
v519,v276/348
v254,v275/460
v191,v3/167
v109,v75/400
v317,v0/398
v380,v523/303
v57,v266/152
v227,v560/2
v0,v515/333
v222,v497/106
v562,v252/167
v105,v155/351
v257,v217/398
v537,v344/478
v617,v600/420
v501,v504/186
v236,v51/73
v375,v103/229
v526,v443/133
v173,v28/126
v614,v94/158
v204,v385/194
v237,v45/28
v33,v575/189
v587,v156/322
v596,v356/150
v364,v56/429
v376,v46/147
v200,v266/31
v210,v503/150
v266,v456/140
v595,v83/306
v355,v217/1
v579,v181/372
v269,v275/394
v613,v482/330
v307,v476/9
v317,v585/195
v179,v241/326
v65,v606/82
v180,v348/397
v50,v504/351
v438,v124/122
v281,v116/363
v522,v297/460
v522,v56/475
v392,v15/9
v227,v575/42
v566,v308/163
v139,v502/144
v391,v451/494
v150,v377/110
v172,v619/143
v299,v467/142
v132,v131/58
v234,v574/369
v28,v619/310
v518,v397/296
v160,v574/235
v200,v464/386
v330,v518/451
v256,v189/174
v440,v232/189
v407,v351/297
v381,v76/344
v355,v304/163
v118,v562/187
v37,v298/227
v222,v9/350
v485,v271/118
v155,v280/453
v318,v336/79
v110,v452/201
v398,v163/350
v142,v567/23
v294,v70/365
v269,v218/475
v536,v0/240
v525,v150/171
v40,v130/151
v266,v30/226
v142,v343/72
v78,v454/105
v83,v492/171
v161,v308/153
v133,v232/237
v193,v16/25
v223,v172/14
v436,v40/106
v295,v336/253
v451,v235/483
v556,v335/150
v434,v341/473
v544,v546/31
v579,v438/183
v356,v0/45
v182,v587/258
v142,v46/390
v156,v540/433
v560,v389/403
v600,v273/488
v247,v435/127
v134,v90/251
v380,v119/139
v539,v34/271
v512,v576/361
v343,v57/424
v317,v17/6
v195,v597/455
v600,v387/277
v166,v469/434
v471,v216/262
v383,v464/88
v269,v235/450
v77,v422/493
v490,v261/474
v13,v41/196
v450,v512/328
v600,v371/96
v335,v330/13
v606,v1/92
v462,v216/47
v142,v62/115
v329,v113/90
v30,v623/247
v610,v342/53
v586,v565/80
v90,v389/265
v329,v57/70
v48,v335/287
v548,v387/226
v183,v76/326
v436,v303/472
v503,v398/73
v433,v330/53
v106,v318/171
v200,v533/230
v377,v100/385
v99,v566/128
v185,v14/343
v606,v303/219
v452,v210/122
v331,v495/428
v257,v15/4
v44,v389/463
v457,v336/340
v332,v125/454
v432,v96/216
v556,v369/379
v401,v496/206
v611,v477/66
v231,v579/224
v582,v219/100
v204,v497/85
v127,v322/239
v15,v512/465
v389,v303/120
v205,v408/66
v131,v50/497
v202,v617/404
v622,v355/195
v419,v364/211
v463,v170/309
v26,v17/98
v18,v555/457
v424,v539/386
v565,v558/412
v459,v45/267
v390,v55/367
v292,v178/210
v336,v460/402
v79,v567/287
v522,v111/92
v12,v375/62
v330,v420/71
v591,v61/493
v32,v393/269
v210,v541/362
v579,v229/454
v209,v245/442
v0,v472/126
v600,v607/25
v483,v259/167
v105,v549/419
v366,v128/93
v187,v601/277
v547,v277/10
v305,v167/10
v129,v89/459
v262,v5/138
v548,v224/152
v606,v147/232
v0,v441/99
v502,v584/122
v256,v25/192
v121,v589/217
v95,v502/499
v532,v505/333
v22,v483/132
v298,v420/438
v358,v202/481
v394,v507/349
v83,v115/67
v196,v492/323
v28,v427/103
v20,v536/299
v29,v618/418
v207,v53/469
v405,v353/434
v335,v516/342
v102,v291/278
v293,v163/48
v13,v510/147
v336,v462/8
v562,v452/208
v383,v611/298
v322,v23/482
v417,v441/149
v215,v187/58
v509,v240/474
v513,v12/221
v281,v243/179
v424,v418/36
v341,v14/180
v278,v315/491
v624,v219/220
v262,v325/465
v558,v533/132
v605,v36/487
v517,v111/386
v427,v141/217
v158,v286/200
v450,v510/170
v560,v231/252
v105,v566/331
v257,v226/79
v332,v360/69
v530,v580/9
v198,v122/254
v411,v438/39
v580,v538/51
v585,v376/328
v517,v233/248
v544,v591/168
v73,v281/260
v249,v108/80
v60,v215/373
v391,v111/6
v389,v492/192
v545,v85/29
v155,v219/53
v439,v609/195
v615,v275/393
v435,v33/53
v340,v478/353
v36,v544/265
v282,v223/131
v48,v488/232
v242,v187/272
v137,v575/481
v117,v408/84
v594,v27/426
v524,v581/368
v436,v209/107
v90,v594/380
v539,v381/4
v69,v250/339
v591,v9/298
v51,v179/24
v512,v167/139
v600,v190/140
v100,v28/242
v258,v390/380
v274,v157/15
v575,v571/88
v272,v540/43
v322,v106/379
v26,v236/369
v12,v261/451
v555,v143/171
v595,v137/113
v61,v153/173
v423,v609/202
v367,v615/141
v622,v597/196
v188,v216/479
v256,v144/366
v35,v464/22
v48,v549/369
v331,v483/420
v392,v231/401
v97,v86/131
v207,v348/138
v408,v322/107
v353,v97/323
v154,v441/292
v317,v348/447
v2,v538/461
v130,v620/176
v285,v415/402
v407,v534/241
v586,v178/155
v238,v137/150
v233,v349/26
v25,v138/2
v319,v600/182
v603,v33/386
v556,v184/216
v103,v347/372
v514,v195/300
v146,v357/159
v395,v599/494
v342,v74/427
v111,v396/245
v101,v184/367
v158,v539/477
v119,v349/291
v597,v174/274
v335,v521/422
v65,v295/473
v10,v253/437
v357,v426/393
v498,v78/461
v251,v16/165
v609,v342/247
v523,v423/230
v179,v138/90
v336,v76/479
v97,v7/176
v118,v367/401
v162,v67/272
v403,v324/367
v593,v418/27
v17,v105/359
v425,v484/170
v487,v82/91
v129,v47/293
v455,v456/177
v460,v535/398
v616,v590/219
v424,v218/282
v408,v598/217
v147,v412/168
v602,v385/125
v289,v536/212
v475,v253/40
v473,v286/64
v531,v286/175
v457,v537/179
v437,v164/183
v176,v551/406
v553,v323/256
v105,v136/444
v293,v624/67
v144,v597/319
v442,v120/296
v12,v77/182
v324,v299/259
v459,v290/358
v535,v511/368
v132,v232/180
v610,v117/137
v454,v352/152
v256,v463/279
v531,v103/107
v129,v392/442
v416,v113/142
v581,v225/197
v489,v1/359
v443,v384/498
v522,v580/477
v106,v386/474
v389,v126/411
v234,v99/206
v510,v80/329
v32,v280/302
v138,v516/63
v283,v569/302
v540,v97/438
v587,v421/281
v9,v126/286
v512,v383/470
v400,v71/46
v401,v614/429
v342,v466/371
v46,v306/409
v83,v394/128
v3,v606/238
v514,v193/276
v570,v64/115
v351,v312/310
v460,v260/166
v30,v276/381
v314,v584/35
v314,v239/44
v79,v214/90
v116,v334/267
v1,v287/250
v570,v103/65
v303,v397/211
v388,v124/411
v523,v466/6
v122,v293/327
v214,v534/356
v357,v265/59
v609,v420/47
v197,v285/188
v161,v162/93
v225,v80/455
v339,v379/463
v160,v431/67
v5,v528/42
v621,v258/91
v441,v393/275
v469,v268/368
v239,v539/52
v510,v321/4
v130,v309/454
v76,v73/165
v123,v152/424
v495,v13/69
v476,v342/248
v584,v566/103
v547,v130/194
v69,v322/339
v499,v300/180
v458,v67/493
v220,v557/3
v520,v215/208
v392,v58/162
v175,v401/6
v346,v315/162
v510,v440/258
v299,v19/253
v106,v487/400
v170,v457/390
v348,v569/280
v63,v211/14
v104,v16/196
v78,v145/133
v621,v35/100
v219,v586/232
v129,v566/169
v415,v40/288
v231,v264/377
v578,v353/105
v566,v147/38
v227,v241/105
v54,v541/460
v359,v223/190
v619,v22/309
v102,v458/230
v464,v274/277
v571,v605/15
v602,v386/448
v357,v16/118
v621,v276/219
v56,v531/283
v594,v163/409
v474,v468/350
v471,v191/301
v317,v475/129
v277,v431/443
v386,v102/307
v177,v23/322
v87,v391/216
v575,v201/99
v110,v299/445
v170,v439/416
v215,v1/491
v109,v408/441
v47,v520/14
v121,v261/167
v177,v242/138
v60,v445/169
v600,v1/139
v244,v459/142
v617,v233/147
v429,v490/73
v512,v164/494
v528,v66/110
v425,v434/261
v257,v30/385
v574,v183/499
v271,v162/296
v91,v397/180
v448,v239/363
v599,v183/135
v369,v122/348
v339,v4/475
v321,v44/36
v232,v154/301
v319,v615/230
v39,v103/358
v2,v82/283
v496,v303/59
v39,v32/136
v351,v225/317
v279,v479/458
v576,v4/481
v389,v0/141
v538,v329/361
v240,v506/443
v454,v179/455
v481,v337/296
v582,v573/132
v599,v513/31
v426,v586/333
v244,v281/270
v354,v494/6
v175,v86/482
v413,v342/158
v249,v615/328
v191,v124/201
v259,v5/148
v278,v418/146
v116,v349/480
v123,v396/344
v601,v551/294
v503,v543/363
v46,v181/110
v223,v426/391
v491,v482/479
v620,v84/483
v3,v103/473
v437,v157/113
v8,v410/341
v257,v500/396
v50,v109/478
v617,v42/45
v338,v50/133
v558,v228/346
v547,v48/410
v121,v73/63
v397,v46/6
v286,v38/231
v37,v88/424
v548,v434/73
v324,v380/75
v108,v561/302
v61,v504/402
v344,v520/147
v397,v204/390
v195,v476/4
v15,v59/82
v14,v380/366
v124,v166/324
v233,v306/358
v281,v132/283
v183,v546/64
v376,v18/353
v104,v417/459
v87,v371/398
v121,v123/452
v75,v121/21
v184,v177/128
v366,v72/464
v302,v202/165
v405,v567/19
v159,v552/36
v31,v183/462
v542,v204/61
v388,v508/223
v259,v577/204
v266,v217/450
v556,v47/489
v544,v387/84
v407,v83/236
v324,v322/472
v557,v213/26
v417,v591/427
v309,v192/357
v262,v530/174
v101,v606/327
v408,v356/145
v417,v45/90
v85,v248/330
v515,v524/234
v500,v609/471
v197,v321/35
v575,v421/34
v446,v218/166
v330,v473/457
v410,v518/6
v389,v438/85
v280,v447/317
v549,v79/328
v330,v103/314
v259,v58/349
v285,v479/465
v549,v278/12
v239,v579/130
v304,v343/322
v447,v151/222
v144,v378/33
v100,v512/231
v207,v290/372
v170,v611/22
v276,v288/228
v45,v137/332
v67,v222/482
v319,v400/357
v266,v388/81
v418,v441/126
v97,v381/116
v313,v286/315
v116,v452/195
v320,v173/214
v593,v457/457
v569,v210/232
v159,v236/478
v390,v171/288
v221,v15/384
v290,v233/270
v209,v532/79
v484,v95/376
v522,v159/301
v159,v352/58
v380,v155/393
v266,v205/374
v240,v565/200
v171,v379/156
v607,v142/393
v547,v474/31
v182,v237/364
v212,v67/424
v489,v279/411
v342,v169/379
v39,v501/141
v509,v573/440
v298,v65/188
v604,v544/241
v621,v437/300
v113,v315/393
v161,v507/97
v70,v113/35
v199,v340/254
v8,v257/364
v107,v483/240
v538,v24/111
v351,v574/58
v88,v82/426
v317,v432/391
v454,v177/243
v347,v500/438
v497,v82/48
v554,v335/340
v38,v384/330
v528,v584/332
v408,v176/277
v42,v379/44
v408,v101/305
v21,v393/264
v461,v385/149
v565,v231/90
v622,v518/453
v334,v263/359
v561,v116/364
v59,v515/434
v103,v199/56
v121,v524/42
v208,v74/253
v120,v123/472
v463,v90/325
v199,v328/52
v111,v205/154
v58,v448/473
v209,v252/341
v310,v307/67
v204,v308/491
v429,v166/281
v624,v434/366
v512,v586/384
v398,v82/223
v110,v231/124
v565,v415/155
v576,v33/254
v205,v361/113
v310,v533/303
v133,v575/124
v299,v336/100
v133,v500/397
v556,v167/414
v253,v419/302
v402,v139/276
v242,v185/122
v107,v422/243
v444,v323/241
v6,v494/201
v468,v218/66
v536,v314/370
v529,v460/203
v204,v330/178
v17,v107/450
v72,v441/267
v198,v360/392
v212,v2/12
v470,v88/269
v84,v296/38
v364,v426/311
v483,v531/205
v142,v119/470
v14,v69/284
v235,v328/28
v485,v381/329
v620,v401/404
v212,v560/375
v622,v55/97
v193,v424/202
v603,v614/463
v163,v572/416
v104,v106/440
v128,v144/400
v399,v582/314
v562,v404/175
v42,v482/283
v317,v391/121
v213,v297/73
v279,v329/105
v311,v294/249
v15,v57/443
v222,v340/386
v525,v398/375
v117,v500/360
v238,v571/356
v70,v411/15
v316,v68/300
v140,v456/391
v70,v572/55
v46,v53/124
v451,v563/21
v24,v615/471
v211,v465/314
v582,v46/126
v280,v310/354
v535,v254/411
v552,v509/215
v26,v238/223
v428,v147/126
v419,v456/277
v340,v86/293
v255,v441/162
v272,v549/410
v453,v358/479
v403,v515/257
v539,v87/40
v511,v478/286
v153,v184/429
v583,v569/251
v190,v452/363
v372,v2/445
v58,v170/200
v470,v409/194
v302,v548/157
v538,v315/444
v532,v485/176
v601,v418/131
v491,v513/426
v439,v289/234
v368,v253/236
v517,v255/457
v174,v326/408
v15,v351/428
v336,v201/331
v411,v200/486
v251,v591/304
v369,v90/408
v38,v520/90
v51,v161/128
v181,v287/293
v355,v589/257
v295,v90/259
v621,v293/294
v281,v94/1
v449,v308/417
v608,v314/111
v179,v152/8
v253,v284/23
v390,v127/298
v109,v68/3
v300,v546/84
v406,v609/144
v357,v609/141
v116,v43/334
v36,v68/36
v235,v39/208
v310,v408/355
v459,v110/179
v104,v608/406
v520,v386/58
v539,v214/166
v580,v101/461
v411,v293/488
v209,v223/479
v362,v507/496
v92,v38/298
v438,v430/457
v9,v568/97
v159,v45/257
v267,v524/406
v294,v441/449
v212,v287/218
v224,v383/413
v499,v100/82
v599,v115/249
v58,v491/445
v234,v226/165
v609,v378/179
v5,v423/332
v464,v382/251
v71,v38/208
v521,v552/211
v155,v478/384
v504,v386/289
v549,v102/88
v138,v181/86
v379,v448/404
v468,v267/40
v415,v151/123
v6,v266/262
v481,v121/441
v472,v392/261
v548,v261/463
v523,v348/32
v36,v413/342
v51,v351/143
v596,v423/299
v301,v289/135
v552,v248/376
v76,v140/113
v199,v55/433
v201,v171/287
v189,v419/490
v400,v208/353
v65,v456/102
v367,v126/126
v294,v142/375
v447,v530/103
v403,v59/368
v575,v513/263
v423,v615/241
v269,v594/269
v195,v243/474
v490,v525/42
v349,v77/152
v44,v265/174
v97,v392/395
v450,v158/361
v538,v255/147
v70,v436/84
v61,v231/205
v65,v551/260
v52,v390/299
v60,v469/308
v184,v131/403
v47,v371/497
v325,v385/315
v60,v68/219
v226,v149/113
v496,v49/337
v433,v500/323
v62,v623/109
v282,v318/161
v22,v490/23
v544,v467/21
v442,v295/132
v578,v542/481
v271,v330/327
v462,v548/492
v202,v170/284
v91,v133/182
v171,v409/151
v414,v74/48
v209,v519/162
v561,v600/282
v207,v73/452
v431,v471/81
v17,v577/454
v99,v390/335
v338,v52/173
v198,v24/436
v387,v440/173
v191,v25/457
v352,v385/269
v508,v620/496
v6,v300/332
v157,v71/311
v322,v138/28
v548,v334/282
v479,v121/395
v174,v232/81
v100,v270/79
v27,v20/54
v298,v516/296
v437,v538/131
v248,v419/50
v47,v245/203
v179,v79/303
v290,v526/437
v116,v150/240
v58,v460/314
v512,v620/417
v85,v110/72
v250,v317/406
v592,v248/99
v619,v107/59
v471,v624/186
v554,v248/473
v190,v530/407
v161,v312/233
v100,v238/451
v189,v198/180
v56,v537/413
v218,v611/479
v183,v61/100
v286,v136/295
v319,v419/222
v562,v275/458
v165,v594/109
v467,v128/135
v487,v43/135
v445,v171/71
v383,v619/283
v534,v91/298
v351,v347/475
v562,v617/15
v135,v225/380
v174,v485/95
v392,v547/58
v278,v161/30
v24,v335/406
v237,v576/351
v12,v583/149
v295,v365/458
v423,v132/318
v279,v274/422
v526,v387/187
v448,v431/159
v478,v601/462
v31,v328/58
v105,v553/197
v148,v124/344
v395,v543/144
v452,v130/284
v109,v28/388
v378,v79/192
v546,v591/381
v594,v621/197
v319,v350/390
v135,v623/380
v107,v524/36
v426,v549/70
v190,v411/109
v208,v548/309
v528,v216/202
v602,v503/284
v182,v114/13
v410,v150/14
v452,v534/458
v404,v395/212
v51,v205/178
v124,v103/265
v429,v387/337
v152,v351/457
v225,v377/351
v581,v385/470
v329,v134/419
v505,v402/454
v502,v150/36
v241,v578/198
v147,v30/63
v471,v421/379
v567,v382/129
v607,v71/101
v456,v74/22
v13,v36/421
v416,v11/389
v55,v71/55
v586,v49/207
v602,v341/41
v196,v469/412
v155,v375/232
v265,v106/39
v257,v408/272
v81,v247/105
v362,v415/487
v100,v412/211
v304,v480/480
v522,v425/337
v298,v548/308
v409,v39/276
v360,v578/306
v138,v115/259
v467,v480/462
v272,v121/15
v402,v148/14
v535,v553/208
v283,v407/421
v178,v59/440
v300,v50/489
v346,v404/5
v62,v388/313
v233,v279/337
v385,v237/20
v255,v498/177
v102,v565/442
v475,v308/224
v409,v399/306
v78,v565/312
v319,v275/353
v273,v465/389
v331,v460/495
v258,v58/23
v215,v550/301
v520,v433/370
v175,v10/433
v114,v233/418
v320,v65/250
v439,v560/96
v419,v517/355
v466,v421/442
v495,v385/53
v596,v310/372
v447,v2/331
v583,v157/197
v196,v491/453
v472,v225/160
v22,v348/323
v172,v196/315
v529,v13/411
v565,v282/489
v387,v222/203
v594,v61/367
v267,v17/195
v560,v22/378
v313,v200/349
v10,v346/60
v202,v52/496
v611,v122/372
v621,v445/370
v352,v137/405
v528,v624/294
v498,v577/86
v374,v428/489
v590,v527/112
v367,v358/278
v170,v12/28
v554,v600/211
v479,v587/394
v5,v619/204
v57,v528/219
v124,v387/455
v382,v578/466
v511,v576/69
v509,v521/200
v121,v418/447
v426,v81/482
v79,v141/188
v136,v89/163
v420,v205/136
v442,v536/352
v258,v568/288
v199,v481/7
v131,v534/338
v160,v523/391
v429,v356/154
v111,v171/173
v510,v22/176
v276,v566/298
v242,v575/137
v501,v589/82
v333,v515/52
v32,v340/124
v99,v50/477
v121,v616/293
v408,v536/384
v462,v174/7
v556,v180/356
v168,v62/125
v121,v596/78
v98,v114/443
v467,v270/342
v204,v102/226
v506,v108/115
v248,v20/494
v310,v497/214
v557,v594/389
v314,v17/467
v133,v158/443
v357,v66/223
v328,v458/470
v486,v496/398
v259,v174/259
v443,v191/323
v591,v568/24
v334,v28/118
v260,v618/299
v566,v569/490
v304,v354/208
v293,v359/382
v470,v215/78
v359,v292/238
v621,v434/381
v337,v367/341
v16,v33/2
v239,v306/497
v561,v303/330
v360,v114/254
v326,v181/108
v548,v326/464
v461,v125/156
v362,v395/478
v458,v362/89
v220,v431/171
v434,v299/390
v40,v241/271
v55,v337/390
v397,v125/446
v417,v146/112
v200,v156/102
v200,v393/212
v224,v618/463
v286,v242/146
v479,v330/259
v249,v200/175
v573,v412/297
v97,v579/126
v318,v457/135
v14,v450/129
v100,v287/395
v410,v576/296
v336,v278/146
